Model,Accuracy,Precision,Recall,F1 Score,Training Time (sec),Tuning Time (sec),Best Parameters
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.622753599999669,13.947132899999815,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.5956177999996726,5.953050699999949,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}"
XGBoost,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.34324000000015076,4.161673800000244,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
