Model,Accuracy,Precision,Recall,F1 Score,Training Time (sec)
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.25470099999984086
Gradient Boosting,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.3869358000001739
XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.2414425000006304
